Category,auroc,ap,f1_max,precision,recall
bottle,90.38461538461539,97.59832927253743,92.3076923076923,92.3076923076923,92.3076923076923
cable,87.71929824561404,93.15320155328371,85.71428571428571,78.26086956521739,94.73684210526315
capsule,91.81818181818183,98.2131649641531,93.61702127659575,88.0,100.0
carpet,100.0,100.0,100.0,100.0,100.0
grid,96.66666666666667,98.8095238095238,95.65217391304348,100.0,91.66666666666666
hazelnut,97.32142857142857,98.46415489272631,96.55172413793103,93.33333333333333,100.0
leather,100.0,100.0,100.0,100.0,100.0
metal_nut,100.0,100.0,100.0,100.0,100.0
pill,90.80459770114942,98.19067332947866,93.10344827586206,93.10344827586206,93.10344827586206
screw,93.05555555555556,97.24410294540863,94.11764705882352,88.88888888888889,100.0
tile,100.0,100.0,100.0,100.0,100.0
toothbrush,88.8888888888889,95.83333333333334,90.9090909090909,100.0,83.33333333333334
transistor,72.91666666666667,76.50335775335775,66.66666666666666,100.0,50.0
wood,93.75,98.11507936507937,92.3076923076923,85.71428571428571,100.0
zipper,94.64285714285714,98.27779694985071,96.0,92.3076923076923,100.0
MEAN,93.19791710944159,96.6935145445822,93.12982950451224,94.12774735953148,93.67653217925451
