Category,auroc,ap,f1_max,precision,recall
bottle,86.53846153846155,96.45011850894203,88.88888888888889,85.71428571428571,92.3076923076923
cable,79.3859649122807,82.73272675261502,88.37209302325581,79.16666666666666,100.0
capsule,65.45454545454545,90.42263553501147,91.66666666666666,84.61538461538461,100.0
carpet,93.5185185185185,98.20747520976354,94.11764705882352,100.0,88.88888888888889
grid,100.0,99.99999999999999,100.0,100.0,100.0
hazelnut,53.57142857142857,76.59821903242955,77.77777777777779,63.63636363636363,100.0
leather,100.0,100.0,100.0,100.0,100.0
metal_nut,95.78947368421052,99.08466819221968,97.2972972972973,100.0,94.73684210526315
pill,61.49425287356323,90.85444507299285,90.625,82.85714285714286,100.0
screw,77.31481481481481,91.06318535981849,85.71428571428571,75.0,100.0
tile,88.23529411764706,95.63008070361012,90.9090909090909,93.75,88.23529411764706
toothbrush,50.0,75.13888888888887,80.0,66.66666666666666,100.0
transistor,87.5,86.11492673992674,80.0,85.71428571428571,75.0
wood,89.58333333333334,97.22222222222221,91.66666666666666,91.66666666666666,91.66666666666666
zipper,83.33333333333334,95.20102555355167,90.19607843137256,85.18518518518519,95.83333333333334
MEAN,80.78129474347581,91.64804118479947,89.81543282894172,86.26484318150983,95.1112478279661
