Category,auroc,ap,f1_max,precision,recall
bottle,92.3076923076923,98.19004524886878,96.0,100.0,92.3076923076923
cable,89.47368421052633,93.65982688828431,90.47619047619048,82.6086956521739,100.0
capsule,92.72727272727272,98.37983163081975,95.65217391304348,91.66666666666666,100.0
carpet,100.0,100.0,100.0,100.0,100.0
grid,96.66666666666667,98.8095238095238,95.65217391304348,100.0,91.66666666666666
hazelnut,95.53571428571428,97.45225013082155,93.33333333333333,87.5,100.0
leather,100.0,100.0,100.0,100.0,100.0
metal_nut,100.0,100.0,100.0,100.0,100.0
pill,91.95402298850574,98.3967643054864,94.73684210526315,96.42857142857143,93.10344827586206
screw,93.51851851851852,97.50934810803231,94.11764705882352,88.88888888888889,100.0
tile,100.0,100.0,100.0,100.0,100.0
toothbrush,88.8888888888889,95.83333333333334,90.9090909090909,100.0,83.33333333333334
transistor,77.08333333333334,78.24392712550608,71.42857142857143,83.33333333333334,62.5
wood,95.83333333333333,98.8095238095238,95.65217391304348,100.0,91.66666666666666
zipper,98.21428571428572,99.47856280193234,97.95918367346938,96.0,100.0
MEAN,94.14689419831588,96.98419581280884,94.39449204825816,95.0950770646423,94.30518715001473
