Category,auroc,ap,f1_max,precision,recall
bottle,92.3076923076923,98.19004524886878,96.0,100.0,92.3076923076923
cable,85.96491228070175,91.78801223399557,86.36363636363636,76.0,100.0
capsule,93.63636363636365,98.65036478672842,95.45454545454545,95.45454545454545,95.45454545454545
carpet,100.0,100.0,100.0,100.0,100.0
grid,96.66666666666667,98.8095238095238,95.65217391304348,100.0,91.66666666666666
hazelnut,94.64285714285714,96.50528043385185,96.55172413793103,93.33333333333333,100.0
leather,100.0,100.0,100.0,100.0,100.0
metal_nut,100.0,100.0,100.0,100.0,100.0
pill,91.37931034482759,98.41685510042507,94.73684210526315,96.42857142857143,93.10344827586206
screw,89.35185185185186,95.9330947757525,92.3076923076923,85.71428571428571,100.0
tile,99.15966386554622,99.67320261437908,97.14285714285714,94.44444444444444,100.0
toothbrush,88.8888888888889,95.83333333333334,90.9090909090909,100.0,83.33333333333334
transistor,77.08333333333333,76.42077285459638,70.0,58.333333333333336,87.5
wood,100.0,100.0,100.0,100.0,100.0
zipper,95.83333333333334,98.86059743396697,95.83333333333334,95.83333333333334,95.83333333333334
MEAN,93.6609915768042,96.60540550836146,94.06345971115954,93.03612313612315,95.94660129142889
