Category,image_AUROC,image_F1Score,pixel_AUROC,pixel_F1Score
bottle,98.07692170143127,95.99999785423279,83.72802734375,33.51486027240753
cable,80.70175647735596,80.0000011920929,54.46231961250305,15.045106410980225
capsule,65.45454263687134,93.6170220375061,85.84301471710205,8.604514598846436
carpet,100.0,100.0,88.94976377487183,34.3972384929657
grid,100.0,100.0,84.84742641448975,27.419522404670715
hazelnut,92.85714030265808,87.5,97.07518815994263,37.20439374446869
leather,99.99999403953552,100.0,93.60308051109314,26.000303030014038
metal_nut,96.84210419654846,94.44444179534912,48.76461625099182,27.668368816375732
pill,54.88505959510803,90.625,66.28011465072632,6.563731282949448
screw,62.73148059844971,84.21052694320679,93.75768899917603,8.216338604688644
tile,99.99999403953552,96.96969985961914,78.04781794548035,28.0362606048584
toothbrush,94.44444179534912,85.71428656578064,87.47118711471558,8.287391811609268
transistor,87.49999403953552,75.0,83.48298668861389,15.822136402130127
wood,91.66666269302368,87.99999952316284,82.73366093635559,38.50785493850708
zipper,98.21428060531616,97.95918464660645,93.34709644317627,27.278000116348267
MEAN,88.22495818138123,91.33601069450378,81.49293263753255,22.83773476878802
